Timestamp,acc.z,pm.vbat,stabilizer.intToOut,stabilizer.thrust,stateEstimate.az
49003,1.156113862991333,3.3096776008605957,48412160,52000.0,0.1250152587890625
49013,1.1682775020599365,3.320234775543213,48422046,52000.0,0.07780420780181885
49023,1.1543198823928833,3.3149561882019043,48431934,52000.0,0.04034554958343506
49033,1.1205767393112183,3.320234775543213,48441823,52000.0,-0.05542457103729248
49043,1.1021126508712769,3.320234775543213,48451712,52000.0,-0.1567157506942749
49053,1.1142795085906982,3.33079195022583,48461603,52000.0,-0.2062290906906128
49063,1.1363139152526855,3.346627712249756,48471487,52000.0,-0.23370981216430664
49073,1.071723461151123,3.3413491249084473,48481378,52000.0,-0.3132250905036926
49083,1.0199198722839355,3.357184886932373,48491260,52000.0,-0.3738381266593933
49093,1.0036529302597046,3.3624634742736816,48501156,52000.0,-0.4020742177963257
49103,1.0246144533157349,3.3624634742736816,48511036,52000.0,-0.4273751974105835
49113,1.0905717611312866,3.357184886932373,48520922,52000.0,-0.4216288924217224
49123,1.1754710674285889,3.346627712249756,48530812,52000.0,-0.3405177593231201
49133,1.2415679693222046,3.3360705375671387,48540698,52000.0,-0.22715520858764648
49143,7.04655647277832,3.3149561882019043,48550588,52000.0,9.208065032958984
49153,3.3252809047698975,3.251613140106201,48560475,52000.0,4.390688419342041
49163,0.8040810227394104,3.251613140106201,48570369,52000.0,0.011578083038330078
49173,0.5150489807128906,3.2357773780822754,48580253,52000.0,-0.40533214807510376
49183,0.7012043595314026,3.241055965423584,48590138,52000.0,-0.2997198700904846
49193,0.7817703485488892,3.2463345527648926,48600030,52000.0,-0.2930142283439636
49203,0.7811035513877869,3.267448902130127,48609919,52000.0,-0.2890409827232361
49213,0.8119015097618103,3.267448902130127,48619802,52000.0,-0.28227126598358154
49223,0.8395184278488159,3.267448902130127,48629687,52000.0,-0.2513030767440796
49233,0.845199704170227,3.2727274894714355,48639575,52000.0,-0.21881544589996338
49243,0.8987499475479126,3.2832846641540527,48649465,52000.0,-0.15612077713012695
49253,0.9216006398200989,3.251613140106201,48659354,52000.0,-0.09583407640457153
49263,0.950235903263092,3.2832846641540527,48669241,52000.0,-0.0501897931098938
49273,0.9626632928848267,3.29384183883667,48679126,52000.0,-0.05752706527709961
49283,0.9849083423614502,3.33079195022583,48689024,52000.0,-0.09192907810211182
49293,1.0069085359573364,3.33079195022583,48698902,52000.0,-0.12891852855682373
49303,1.0182714462280273,3.346627712249756,48708791,52000.0,-0.18436980247497559
49313,1.0015685558319092,3.357184886932373,48718679,52000.0,-0.27873164415359497
49323,0.9892501831054688,3.3677420616149902,48728567,52000.0,-0.38525116443634033
49333,1.0381687879562378,3.3782992362976074,48738461,52000.0,-0.45771390199661255
49343,1.0132516622543335,3.383577823638916,48748348,52000.0,-0.6132705211639404
49353,1.0260026454925537,3.383577823638916,48758228,52000.0,-0.7652606964111328
49363,1.0409594774246216,3.3782992362976074,48768116,52000.0,-0.8718207478523254
49373,1.0126532316207886,3.394134998321533,48778001,52000.0,-1.049790859222412
49383,0.983060896396637,3.399413585662842,48787900,52000.0,-1.216697335243225
49393,0.949957013130188,3.399413585662842,48797777,52000.0,-1.3477518558502197
49403,0.9955405592918396,3.399413585662842,48807666,52000.0,-1.434790849685669
49413,0.9978180527687073,3.4046921730041504,48817558,52000.0,-1.621199369430542
49423,1.0002306699752808,3.399413585662842,48827439,52000.0,-1.7052011489868164
49433,0.9858381748199463,3.3096776008605957,48837325,52000.0,-1.799800157546997
49443,0.9699914455413818,3.3096776008605957,48847212,52000.0,-1.8526909351348877
49453,0.9695333242416382,3.304399013519287,48857106,52000.0,-1.9102356433868408
49463,0.33163467049598694,3.304399013519287,48866987,52000.0,-0.9118496179580688
49473,-1.2567192316055298,3.2621703147888184,48876878,52000.0,0.0666283369064331
49483,-1.9527833461761475,3.1935484409332275,48886764,52000.0,-2.8557076454162598
49493,-11.293646812438965,3.1196482181549072,48896649,52000.0,5.345722675323486
49503,-6.895108699798584,3.5630500316619873,48906537,52000.0,6.238073348999023
49513,-0.5382307171821594,3.6791789531707764,48916424,52000.0,-0.033029139041900635
49523,0.20538875460624695,3.6791789531707764,48926312,52000.0,-1.1628031730651855
49533,-0.020916813984513283,3.710850477218628,48936201,52000.0,-0.9774170517921448
49543,-0.10656894743442535,3.7266862392425537,48946086,52000.0,-0.8745455741882324
49553,-0.09798440337181091,3.7425220012664795,48955980,52000.0,-0.8906739950180054
49563,-0.2394993156194687,3.7530791759490967,48965871,52000.0,-0.7930794954299927
49573,-0.3715047240257263,3.7583577632904053,48975755,52000.0,-0.6537292003631592
49583,-0.27469557523727417,3.7583577632904053,48985636,52000.0,-0.7534841299057007
49593,-0.4952382445335388,3.7583577632904053,48995530,52000.0,-0.5681801438331604
49603,-0.6135795712471008,3.763636350631714,49005413,52000.0,-0.3735164999961853
